Title,Company,Location,Salary,Description,Employment Type,Posted Date,Workplace Type,URL
"Sign in to create job alert","","","","","","","","https://www.linkedin.com/login?emailAddress=&fromSignIn=&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%3Fkeywords%3Ddev%26location%3Dmaroc%26start%3D0&trk=public_jobs_job-alert-guest-redirect-cta"
"Chef de Projet WEBSITE / DEV WEB","","Casablanca, Casablanca-Settat, Morocco","","Contexte du recrutement et définition de poste En tant que website Project Manager, vous serez chargé(e) de la gestion technique et fonctionnelle des sites web de la banque. Vous superviserez la maintenance quotidienne, l’optimisation de l’expérience utilisateur, ainsi que la mise en place de stratégies SEO. Votre rôle sera de garantir la performance, la sécurité et l'innovation continue des sites, tout en coordonnant les équipes internes et externes. Missions Assurer la gestion quotidienne et la maintenance des sites web de CIH BANK, en garantissant leur bon fonctionnement et leur sécurité. Collaborer avec les équipes de développement et de design pour améliorer l'expérience utilisateur (UX) et l’interface utilisateur (UI). Surveiller les performances des sites web à l'aide d'outils d'analyse et proposer des optimisations pour améliorer les indicateurs clés de performance (KPI). Définir et mettre en œuvre des stratégies de référencement naturel (SEO) pour augmenter la visibilité des sites sur les moteurs de recherche. Planifier et superviser les mises à jour et l'intégration de nouvelles fonctionnalités en travaillant étroitement avec les équipes IT, marketing et contenu. Responsabilités Gestion quotidienne : Assurer la maintenance technique et fonctionnelle des sites web, en veillant à ce que toutes les mises à jour et fonctionnalités soient correctement mises en œuvre. Amélioration UX/UI : Collaborer avec les designers et développeurs pour améliorer l’expérience utilisateur et l’interface graphique des sites web. Analyse des performances : Utiliser des outils tels que Google Analytics pour surveiller les performances des sites web, identifier des opportunités d’amélioration et ajuster les stratégies en conséquence. SEO : Mettre en place des actions de référencement naturel pour améliorer le positionnement des sites sur les moteurs de recherche. Coordination : Superviser les mises à jour et nouvelles fonctionnalités, et travailler avec les différentes équipes pour s’assurer que tous les projets sont réalisés dans les délais et respectent le budget. Profil recherché Compétences Requises Expérience en gestion de contenu web et maîtrise des CMS (WordPress, Drupal, etc.). Compétences solides en analyse de données avec des outils tels que Google Analytics, Google Tag Manager, SEMrush. Connaissance technique des langages web tels que HTML, CSS, et JavaScript, avec des notions de backend. Expertise en SEO pour assurer une meilleure visibilité et performance des sites web. Capacité à gérer plusieurs projets simultanément, tout en respectant les délais et les objectifs fixés. Compétences Personnelles Esprit d’analyse : Capacité à identifier et résoudre des problèmes techniques rapidement et efficacement. Organisation : Excellentes compétences en gestion du temps pour assurer le respect des délais. Collaboration : Forte capacité à travailler en équipe avec les départements IT, design et marketing. Curiosité : Intérêt pour les nouvelles tendances et technologies pour assurer l'innovation des plateformes web. Rigueur : Souci du détail pour garantir la qualité des projets et des mises à jour. Show more Show less","","","","https://ma.linkedin.com/jobs/view/chef-de-projet-website-dev-web-at-cih-bank-4015118246?position=1&pageNum=0&refId=PeypS67Hlh4baP9883ut9Q%3D%3D&trackingId=WfQYs9kUI%2BXtFmaiVqrcJA%3D%3D"
"Business Analyst","","Casablanca Metropolitan Area","","Le Business Analyst sera en charge de l’assistance à maîtrise d’ouvrage dans la conduite effective des projets de nos clients sur différents périmètres fonctionnels depuis la définition des besoins jusqu'aux tests finaux et la mise en production. Missions : Assistance à maîtrise d’ouvrage dans la conduite du projet • Participer aux réunions de pilotage et aux ateliers de définition des besoins ; • Étudier et comprendre le besoin client, et l’orienter pour tirer le meilleur bénéfice des applications proposées ; • Maîtriser parfaitement le périmètre fonctionnel des projets et remonter au chef de projet les écarts identifiés avec les progiciels de l’entreprise ; • Assister le client dans les opérations de recette. Élaboration des livrables selon les objectifs fixés • Élaborer les livrables sur la base du besoin client (Spécifications fonctionnelles détaillées, documentation fonctionnelle du projet, plans de tests ...) ; • Animer les sessions de formation pour les utilisateurs du client. Environnement Technique : • Environnement technique : Java, env. dev, recette, prod, SQL, Excel, etc • Connaissance des outils de maquettage applicatif ; • Connaissance de la suite Atlassian (Jira, Confluence ...). Show more Show less","","","","https://ma.linkedin.com/jobs/view/business-analyst-at-intelcia-it-solutions-4124578251?position=2&pageNum=0&refId=PeypS67Hlh4baP9883ut9Q%3D%3D&trackingId=zDkjALnKhpWKW8aJ%2FBBJ1Q%3D%3D"
"Stagiaire PFE Ingénieur Etudes et Développement (H/F)","","Mechouar, Casablanca-Settat, Morocco","","« Tous nos postes sont ouverts au télétravail » Rejoindre Deloitte, c'est dire oui à une expérience qui a du sens, celle où les rencontres et les missions vous poussent à grandir chaque jour. C’est évoluer dans un environnement de travail basé sur la confiance, la transmission et l’intelligence collective pour construire l’avenir de nos clients. Un avenir que nous voulons plus responsable, plus durable et respectueux de l’environnement en prenant des initiatives concrètes à notre échelle. Nous rejoindre, c’est aussi dire oui à une entreprise attachée au bien-être, et à l’inclusion sans distinction de nos collaborateurs. Et vous, prêts à dire #ISayYes à votre futur chez Deloitte ? Deloitte Extended Services, basé à Casablanca est une filiale à 100% de Deloitte France et constitue un centre de responsabilité à part entière. En support de différentes member firmes, Deloitte Extended Services mobilise ses talents au service de clients de toutes tailles et de tous secteurs, couvrant une large palette d'offres : Audit et Risk Advisory, Consulting, juridique & fiscal et fonctions supports. Notre Delivery Center se positionne également comme un centre d'expertises en matière de nouvelles technologies au Maroc ainsi qu'au sein du Groupe Deloitte. Nos consultants et nos experts travaillent sur des projets de grande envergure, avec une diversité de missions et de secteurs à l’échelle internationale. Quel sera votre rôle dans la #TeamDeloitte ? Votre rôle principal en tant que Stagiaire en « Etudes et développement informatique » consistera à la découverte de la plateforme ServiceNow, le suivi d’une formation d’administration, et la participation dans plusieurs phases d’un ou de plusieurs projets de développement en total coordination avec votre responsable de stage, et en étroite collaboration avec l’équipe interne et la DSI. Vous aurez l’opportunité de découvrir également plusieurs modules de ServiceNow, comme la gestion des services IT (ITSM), et la gestion des projets (SPM), ainsi que le portail de l’utilisateur final (EC Pro). Vous aurez pour missions principales : Le suivi d’une formation d’administration de ServiceNow, et l’acquisition de bonnes connaissances de cette plateforme, en back-office et en front-office La participation dans l’étude, la conception, et le développement de certaines améliorations et évolutions, pour une bonne compréhension de la plateforme La contribution dans la gestion de la maintenance corrective et l’analyse de la cause racine Le développement de vos compétences pour la rédaction de la documentation, des spécifications fonctionnelles et techniques, et des présentations. La pratique de la méthodologie Scrum et la participation aux différentes instances du Framework SAFe pour avoir plus de connaissances en Agilité La collaboration avec les membres de l’équipe ServiceNow interne, et également avec l’équipe de Deloitte global (DEV, BA, QA, Architectes, etc.) L’acquisition des standards de développement OOTB (Out Of the Box) et des meilleures pratiques. La réalisation du sujet PFE proposé depuis sa conception jusqu’au son déploiement Et si c’était vous ? Vous êtes actuellement en dernière année d'école d'Ingénieur en Informatique, Génie Logiciel ou équivalent. Vous êtes à la recherche d’un stage de fin d’étude et vous avez des connaissances fonctionnelles et techniques de base, particulièrement dans le développement et les bases de données. Qualités requises : Vous parlez couramment le français et possédez un très bon niveau en anglais Avoir de bonnes connaissances en JavaScript, HTML/CSS et en XML Vous avez un bon sens de l’écoute, de synthèse, de l’analyse fonctionnelle Vous êtes organisé, rigoureux, autonome et respectueux des process mis en place Vous avez le sens du travail en équipe, vous êtes force de proposition et vous avez de bonnes qualités relationnelles. Les compétences ci-dessous seraient un plus : Une expérience en : Programmation / Scripting via Java, JavaScript/Angular, l’optimisation du code, et en langage SQL La réalisation des projets académiques ou personnels en lien avec le développement de logiciels. Des connaissances dans la gestion du cycle de vie d'une application De bonnes connaissances en agilité (Scrum, etc.) et les pratiques ITIL. Show more Show less","","","","https://ma.linkedin.com/jobs/view/stagiaire-pfe-ing%C3%A9nieur-etudes-et-d%C3%A9veloppement-h-f-at-deloitte-4039386879?position=3&pageNum=0&refId=PeypS67Hlh4baP9883ut9Q%3D%3D&trackingId=j%2FcJSZoTxOyRHYiqs%2B4rQg%3D%3D"
"**** ******** *** ******** ****** - *******","","*****, *****-***é-*é*****, *******","","Description Do you want to solve business challenges through innovative technology? Do you enjoy working on cutting-edge, scalable services technology in a team environment? Do you like working on industry-defining projects that move the needle? At Amazon, we hire the best minds in technology to innovate and build on behalf of our customers. The intense focus we have on our customers is why we are one of the world’s most beloved brands – customer obsession is part of our company DNA. Our interns write real software and collaborate with a selected group of experienced software development engineers who help interns on projects that matter to our customers. We want to you to feel welcomed, included and valued right from the start. Every day will be filled with exciting new challenges, developing new skills, and achieving personal growth. How often can you say that your work changes the world? At Amazon, you’ll say it often. Join us and define tomorrow. We Have Two Different Internship Durations Available 3 months internship 6 months internship Please ensure to indicate your availability during the application process. Key job responsibilities Collaborate with experienced cross-disciplinary Amazonians to conceive, design, and bring to market innovative products and services. Design and build innovative technologies in a large distributed computing environment and help lead fundamental changes in the industry. Create solutions to run predictions on distributed systems with exposure to innovative technologies at incredible scale and speed. Build distributed storage, index, and query systems that are scalable, fault-tolerant, low cost, and easy to manage/use. Work in an agile environment to deliver high quality software. A day in the life As an intern, you will be matched to a manager and a mentor. You will have the opportunity to influence the evolution of Amazon technology and lead mission critical projects early in your career. Your design, code, and raw smarts will contribute to solving some of the most complex technical challenges in the areas of distributed systems, data mining, automation, optimisation, scalability, and security – just to name a few. In addition to working on an impactful project, you will have the opportunity to engage with Amazonians for both personal and professional development, expand your network, and participate in activities with other interns throughout your internship. No matter the location of your internship, we give you the tools to own your project and learn in a real-world setting. Many of our technologies overlap, and you would be hard pressed to find a team that is not using Amazon Web Services (AWS), touching the catalogue, or iterating services to better personalise for customers. We make the impossible, possible. Basic Qualifications Currently enrolled in a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, or related fields at time of application Although no specific programming language is required – you should be familiar with the syntax of languages such as Java, C/C++, or Python Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis Preferred Qualifications Previous technical internship(s) if applicable Experience with distributed, multi-tiered systems, algorithms, and relational databases Experience in optimization mathematics such as linear programming and nonlinear optimisation Ability to effectively articulate technical challenges and solutions Adept at handling ambiguous or undefined problems as well as ability to think abstractly Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner. Company - Netfective Technology Maroc SARL - M57 Job ID: A2787959 Show more Show less","","","","https://ma.linkedin.com/jobs/view/2025-software-dev-engineer-intern-morocco-at-amazon-4118595013?position=4&pageNum=0&refId=PeypS67Hlh4baP9883ut9Q%3D%3D&trackingId=Ha9C4KBmPeBpvn0953uDog%3D%3D"
"***% ****** | ***** ******* | *** ****** ** | *** ** / *****","","","","🔍 Process de recrutement Un entretien avec le CEO de 30 minutes Un entretien technique 💰 Salaire Taux horaire : 150 dh / heure. 📃 Contrat Freelance : 1 heure par jour (20h/mois) ✅ Avantages Full remote : Tu travailles à distance, de chez toi Internationale : Des clients de France, Suisse, Canada, Angleterre Team building : Une journée par mois ou tous les collaborateurs se rejoignent pour kiffer 🏇🏻 Expérience souhaitée Pour postuler à ce poste, il te faudra : 5 ans d'expérience professionnelle dans le développement backend en Go. A déjà participer à l’encadrement technique d’une équipe Français ou anglais obligatoire 😎 Descriptif du poste Dans le cadre d’un projet de développement en Go d’une société spécialisé dans l’évènementiel, nous recherchons un développeur senior Go à temps partiel pour être en charge de faire les reviews du développeur Junior et de l’accompagner dans ces choix d’implémentations techniques. 😘 À propos de Flow Je m'appelle Erwan, je suis un développeur Français et le CEO de Flow une ESN Marocaine. Avec Flow, je recrute les meilleurs développeurs web du marché Marocain. À mes débuts de développeur, j'ai travaillé dans une ESN qui était centrée sur le profit aux dépens de ses salariés. Lorsque je me suis installé en 2019 au Maroc avec ma femme et mes enfants, j'ai décidé de faire les choses autrement. J’ai créé une société centrée sur les collaborateurs. Afin de proposer les meilleurs services à nos salariés, nous sommes très attentifs à nous entourer de clients apporteurs de missions intéressantes et d’un environnement sain. Nous avons créé une opportunité pour les développeurs d'apprendre, de construire, et de grandir dans des conditions incroyables ! Ouverts vers l'extérieur, nous souhaitons également créer une communauté Tech, rassemblée autour d'un podcast, d'une chaîne YouTube et d’évènements physiques. Une fois que votre profil est validé sur le plan technique et humain vous rencontrerez nos clients pour rejoindre leur équipe à distance. Notre agence est située à Rabat et nous sommes 100% remote. Show more Show less","","","","https://ma.linkedin.com/jobs/view/100%25-remote-temps-partiel-dev-senior-go-150-dh-heure-at-flow-4117254905?position=5&pageNum=0&refId=PeypS67Hlh4baP9883ut9Q%3D%3D&trackingId=4NdMvypTuccMIvMDZIiNrg%3D%3D"
"**** ******** *** ******** ****** - *******","","**********, **********-******, *******","","Description Do you want to solve business challenges through innovative technology? Do you enjoy working on cutting-edge, scalable services technology in a team environment? Do you like working on industry-defining projects that move the needle? At Amazon, we hire the best minds in technology to innovate and build on behalf of our customers. The intense focus we have on our customers is why we are one of the world’s most beloved brands – customer obsession is part of our company DNA. Our interns write real software and collaborate with a selected group of experienced software development engineers who help interns on projects that matter to our customers. We want to you to feel welcomed, included and valued right from the start. Every day will be filled with exciting new challenges, developing new skills, and achieving personal growth. How often can you say that your work changes the world? At Amazon, you’ll say it often. Join us and define tomorrow. We Have Two Different Internship Durations Available 3 months internship 6 months internship Please ensure to indicate your availability during the application process. Key job responsibilities Collaborate with experienced cross-disciplinary Amazonians to conceive, design, and bring to market innovative products and services. Design and build innovative technologies in a large distributed computing environment and help lead fundamental changes in the industry. Create solutions to run predictions on distributed systems with exposure to innovative technologies at incredible scale and speed. Build distributed storage, index, and query systems that are scalable, fault-tolerant, low cost, and easy to manage/use. Work in an agile environment to deliver high quality software. A day in the life As an intern, you will be matched to a manager and a mentor. You will have the opportunity to influence the evolution of Amazon technology and lead mission critical projects early in your career. Your design, code, and raw smarts will contribute to solving some of the most complex technical challenges in the areas of distributed systems, data mining, automation, optimisation, scalability, and security – just to name a few. In addition to working on an impactful project, you will have the opportunity to engage with Amazonians for both personal and professional development, expand your network, and participate in activities with other interns throughout your internship. No matter the location of your internship, we give you the tools to own your project and learn in a real-world setting. Many of our technologies overlap, and you would be hard pressed to find a team that is not using Amazon Web Services (AWS), touching the catalogue, or iterating services to better personalise for customers. We make the impossible, possible. Basic Qualifications Currently enrolled in a Bachelor’s or Master’s Degree in Computer Science, Computer Engineering, or related fields at time of application Although no specific programming language is required – you should be familiar with the syntax of languages such as Java, C/C++, or Python Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis Preferred Qualifications Previous technical internship(s) if applicable Experience with distributed, multi-tiered systems, algorithms, and relational databases Experience in optimization mathematics such as linear programming and nonlinear optimisation Ability to effectively articulate technical challenges and solutions Adept at handling ambiguous or undefined problems as well as ability to think abstractly Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need a workplace accommodation or adjustment during the application and hiring process, including support for the interview or onboarding process, please visit https://amazon.jobs/content/en/how-we-hire/accommodations for more information. If the country/region you’re applying in isn’t listed, please contact your Recruiting Partner. Company - Netfective Technology Maroc SARL - M57 Job ID: A2787959 Show more Show less","","","","https://ma.linkedin.com/jobs/view/2025-software-dev-engineer-intern-morocco-at-amazon-4091650681?position=6&pageNum=0&refId=PeypS67Hlh4baP9883ut9Q%3D%3D&trackingId=Ge08bzh%2Bu3FThboQ5G7Nrw%3D%3D"
"*é********* **** ****** (*/*) – *****, *** **** 💼","","*****, *****-***é-*é*****, *******","","À propos de Go&Dev : Depuis 2017, nous sommes les pionniers du conseil en développement Digital dans les secteurs bancaire, financier, assurantiel et digital. Nous recherchons un développeur JAVA Senior avec un fort potentiel d’évolution pour rejoindre nos équipes R&D ! Vos Missions Développements Java/JEE dans un contexte agile (tribu squad) Évolution et maintenance du progiciel Participation aux activités de conception et spécification Participation aux projets R&D pour améliorer nos progiciels Préparation et organisation de démos internes et client Tests unitaires et recettes fonctionnelles Garant des solutions techniques mises en œuvre Accompagnement des développeurs Java 11/DevOps Votre parcours chez nous commence par une formation sur notre solution et les métiers de l’assurance Profil Recherché Formation supérieure en école d’ingénieur ou universitaire Dynamique et motivé par les défis Minimum 5 ans d’expérience Maîtrise de Java et écosystème Spring Bonne pratique des langages HTML5, JavaScript, CSS, jQuery Connaissance des outils tels qu’Eclipse, Jenkins, UML, Oracle, SQL Server, PostgreSQL Expérience en méthodologie agile Excellente expression orale et écrite en français Type de contrat : CDI Disponibilité : ASAP Rejoignez-nous et évoluez dans un environnement stimulant et innovant ! Envoyez-nous votre candidature dès maintenant. Les Compétences Requises Java Spring HTML5 Query CSS Oracle Salaire : Négociable Poste basé à : Rabat - Maroc Type de contrat : CDI Type de poste : Présentiel Show more Show less","","","","https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-java-senior-h-f-%E2%80%93-rabat-hay-riad-%F0%9F%92%BC-at-go-dev-4069580764?position=7&pageNum=0&refId=PeypS67Hlh4baP9883ut9Q%3D%3D&trackingId=AHkmj2YjdaNF5bcwSof4Tg%3D%3D"
"Seniority level","","","","","","","","https://www.linkedin.com/login?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fsearch%2Fresults%2Fpeople%2F%3FfacetCurrentCompany%3D72867&emailAddress=&fromSignIn=&trk=public_jobs_find-a-referral-cta"
"Sign in to create job alert","","","","","","","","https://www.linkedin.com/login?emailAddress=&fromSignIn=&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%3Fkeywords%3Ddev%26location%3Dmaroc%26start%3D0&trk=public_jobs_job-alert-guest-redirect-cta"
